code,naam,categorie,bestand,bronpagina
E059,"uitgebreid assortiment duurzame materialen die geschikt zĳn voor gebruik in veeleisende industriële omgevingen. verhard pvc, aluminium en fotoluminescente materialen met het oog op een optimale duurzaamheid bĳ zowel binnen- als buitengebruik, tĳdens reinigingsprocessen, bĳ hoge temperaturen, in chemische omgevingen en bĳ offshore-toepassingen. in verschillende afmetingen en formaten, waaronder: gecombineerd met panelen in verhard pvc om zelfklevende gecombineerd met verharde inschuifborden om zelfklevende vervangen indien nodig Duurzame materialen voor Klik op of scan de QR-code Vluchtladder",Evacuatie en redding,afbeeldingen/E059.png,27
E060,Evacuatiestoel,Evacuatie en redding,afbeeldingen/E060.png,27
E061,Waterreddingsmiddelen,Evacuatie en redding,afbeeldingen/E061.png,27
E062,Tsunami evacuatiezone,Evacuatie en redding,afbeeldingen/E062.png,27
E063,Tsunami evacuatiegebouw,Evacuatie en redding,afbeeldingen/E063.png,27
M001,Algemeen gebod,Gebod,afbeeldingen/M001.png,11
M002,Gebruiksaanwĳzing in acht nemen,Gebod,afbeeldingen/M002.png,11
M003,Gehoorbescherming verplicht,Gebod,afbeeldingen/M003.png,11
M004,Oogbescherming verplicht,Gebod,afbeeldingen/M004.png,11
M005,Aarding verplicht,Gebod,afbeeldingen/M005.png,11
M006,Voor het openen stekker uit stopcontact trekken,Gebod,afbeeldingen/M006.png,11
M007,Dragen van opaak bril verplicht,Gebod,afbeeldingen/M007.png,11
M008,Veiligheidsschoenen verplicht,Gebod,afbeeldingen/M008.png,11
M009,Veiligheidshandschoenen verplicht,Gebod,afbeeldingen/M009.png,11
M010,* Beschermkledĳ verplicht,Gebod,afbeeldingen/M010.png,11
M011,Handen wassen verplicht,Gebod,afbeeldingen/M011.png,11
M012,Hand aan de reling verplicht,Gebod,afbeeldingen/M012.png,11
M013,Gelaatsbescherming verplicht,Gebod,afbeeldingen/M013.png,11
M014,Veiligheidshelm verplicht,Gebod,afbeeldingen/M014.png,11
M015,Veiligheidsjas met verhoogde zichtbaarheid verplicht,Gebod,afbeeldingen/M015.png,11
M016,(Lichte) ademhalings- bescherming verplicht,Gebod,afbeeldingen/M016.png,11
M017,Ademhalings- bescherming verplicht,Gebod,afbeeldingen/M017.png,11
M018,Individueel veiligheidsharnas verplicht,Gebod,afbeeldingen/M018.png,11
M019,Lasmasker verplicht,Gebod,afbeeldingen/M019.png,12
M020,Veiligheidsriem verplicht,Gebod,afbeeldingen/M020.png,12
M021,Vrĳschakelen voor onderhoud of herstelling,Gebod,afbeeldingen/M021.png,12
M022,Gebruik beschermende crème,Gebod,afbeeldingen/M022.png,12
M023,Oversteekplaats gebruiken,Gebod,afbeeldingen/M023.png,12
M024,Verplichte doorgang voetgangers,Gebod,afbeeldingen/M024.png,12
M025,Oogbescherming voor kinderen verplicht,Gebod,afbeeldingen/M025.png,12
M026,Beschermschort verplicht,Gebod,afbeeldingen/M026.png,12
M027,Bescherming controleren,Gebod,afbeeldingen/M027.png,12
M028,Gesloten houden,Gebod,afbeeldingen/M028.png,12
M029,Geluidssignaal geven,Gebod,afbeeldingen/M029.png,12
M030,Gebruik de vuilnisbak,Gebod,afbeeldingen/M030.png,12
M031,Gebruik de verstelbare kap van de tafelzaag,Gebod,afbeeldingen/M031.png,12
M032,Antistatische schoenen verplicht,Gebod,afbeeldingen/M032.png,12
M033,Sluit de veiligheidsbeugel van stoeltjeslift,Gebod,afbeeldingen/M033.png,12
M034,Open de veiligheidsbeugel van stoeltjeslift,Gebod,afbeeldingen/M034.png,12
M035,Verlaat het sleepspoor onmiddellĳk bĳ een val,Gebod,afbeeldingen/M035.png,12
M036,Til skipunten op,Gebod,afbeeldingen/M036.png,12
M037,Luiken sluiten en beveiligen,Gebod,afbeeldingen/M037.png,13
M038,Motor starten,Gebod,afbeeldingen/M038.png,13
M039,Reddingsboot te water laten,Gebod,afbeeldingen/M039.png,13
M040,Reddingsvlot te water laten,Gebod,afbeeldingen/M040.png,13
M041,Reddingsboot te water laten,Gebod,afbeeldingen/M041.png,13
M042,Haken lossen,Gebod,afbeeldingen/M042.png,13
M043,Sprinklers starten,Gebod,afbeeldingen/M043.png,13
M044,Luchttoevoer starten,Gebod,afbeeldingen/M044.png,13
M045,Bevestigingskoorden lossen,Gebod,afbeeldingen/M045.png,13
M046,Gasﬂessen vastmaken,Gebod,afbeeldingen/M046.png,13
M047,Gebruik autonoom ademhalingstoestel,Gebod,afbeeldingen/M047.png,13
M048,Gebruik de gasdetector,Gebod,afbeeldingen/M048.png,13
M049,Draag beschermende rollersportuitrusting,Gebod,afbeeldingen/M049.png,13
M050,Links uit de slee stappen,Gebod,afbeeldingen/M050.png,13
M051,Rechts uit de slee stappen,Gebod,afbeeldingen/M051.png,13
M052,Afstand houden,Gebod,afbeeldingen/M052.png,13
M053,Reddingsvest verplicht,Gebod,afbeeldingen/M053.png,13
M054,Houd kinderen in en rond het water altĳd onder toezicht,Gebod,afbeeldingen/M054.png,13
A045R,Richtingaanwĳzing 45°/90° (rechts),Richtingspijl,afbeeldingen/A045R.png,21
A090R,*/,Richtingspijl,afbeeldingen/A090R.png,21
P001,Verbodsteken*,Verbod,afbeeldingen/P001.png,6
P002,Roken verboden,Verbod,afbeeldingen/P002.png,6
P003,"Vuur, open vlam en roken verboden",Verbod,afbeeldingen/P003.png,6
P004,Verboden voor voetgangers,Verbod,afbeeldingen/P004.png,6
P005,Geen drinkwater,Verbod,afbeeldingen/P005.png,6
P006,Heftrucks verboden,Verbod,afbeeldingen/P006.png,6
P007,Verbod voor personen met pacemaker,Verbod,afbeeldingen/P007.png,6
P008,Kleine metalen voorwerpen verboden,Verbod,afbeeldingen/P008.png,6
P009,Klimmen verboden,Verbod,afbeeldingen/P009.png,6
P010,Aanraken verboden,Verbod,afbeeldingen/P010.png,6
P011,Verboden met water te blussen,Verbod,afbeeldingen/P011.png,6
P012,Geen zware last plaatsen,Verbod,afbeeldingen/P012.png,6
P013,Draagbare telefoon verboden,Verbod,afbeeldingen/P013.png,6
P014,Verboden voor personen met metalen implantaat,Verbod,afbeeldingen/P014.png,6
P015,Verboden in vergaarbak te grĳpen,Verbod,afbeeldingen/P015.png,6
P016,Niet besproeien met water,Verbod,afbeeldingen/P016.png,6
P017,Duwen verboden,Verbod,afbeeldingen/P017.png,6
P018,* Mag alleen gebruikt worden met bĳgaande verbodstekst Verboden te zitten,Verbod,afbeeldingen/P018.png,6
P019,Verboden het oppervlak te betreden,Verbod,afbeeldingen/P019.png,7
P020,Verboden de lift te gebruiken bĳ brand,Verbod,afbeeldingen/P020.png,7
P021,Dieren verboden,Verbod,afbeeldingen/P021.png,7
P022,Eten en drinken verboden,Verbod,afbeeldingen/P022.png,7
P023,Neerzetten of opslaan verboden,Verbod,afbeeldingen/P023.png,7
P024,Betreden van ruimte verboden,Verbod,afbeeldingen/P024.png,7
P025,Verboden een onafgewerkte stelling te gebruiken,Verbod,afbeeldingen/P025.png,7
P026,Verboden om deze artikels onder douche of in bad te gebruiken,Verbod,afbeeldingen/P026.png,7
P027,Personenvervoer verboden,Verbod,afbeeldingen/P027.png,7
P028,Dragen van handschoenen verboden,Verbod,afbeeldingen/P028.png,7
P029,Fotograferen verboden,Verbod,afbeeldingen/P029.png,7
P030,Verboden om knopen te maken,Verbod,afbeeldingen/P030.png,7
P031,Niet schakelen,Verbod,afbeeldingen/P031.png,7
P032,Verboden slĳpschĳf te gebruiken,Verbod,afbeeldingen/P032.png,7
P033,Verboden nat te slĳpen,Verbod,afbeeldingen/P033.png,7
P034,Verboden met de hand te slĳpen,Verbod,afbeeldingen/P034.png,7
P035,Geen schoenen met metalen noppen dragen,Verbod,afbeeldingen/P035.png,7
P036,Kinderen niet toegestaan,Verbod,afbeeldingen/P036.png,7
P037,Het sleepspoor niet verlaten,Verbod,afbeeldingen/P037.png,8
P038,Niet schommelen met het stoeltje,Verbod,afbeeldingen/P038.png,8
P040,Ontsteken van vuurwerk verboden,Verbod,afbeeldingen/P040.png,8
P041,Tegenaan leunen verboden,Verbod,afbeeldingen/P041.png,8
P042,Verboden voor zwangere vrouwen,Verbod,afbeeldingen/P042.png,8
P043,Verboden voor dronken personen,Verbod,afbeeldingen/P043.png,8
P044,Gebruik van slimme brillen verboden,Verbod,afbeeldingen/P044.png,8
P046,Armen en benen binnen de slee houden,Verbod,afbeeldingen/P046.png,8
P047,Verboden tegen de slee te botsen,Verbod,afbeeldingen/P047.png,8
P048,Verboden te lopen,Verbod,afbeeldingen/P048.png,8
P049,Verboden te zwemmen,Verbod,afbeeldingen/P049.png,8
P050,Verboden te snorkelen,Verbod,afbeeldingen/P050.png,8
P051,Verboden te diepzeeduiken,Verbod,afbeeldingen/P051.png,8
P052,Verboden te duiken,Verbod,afbeeldingen/P052.png,8
P053,Verboden te zeilen,Verbod,afbeeldingen/P053.png,8
P054,Verboden te windsurfen,Verbod,afbeeldingen/P054.png,8
P055,Handmatig aangedreven vaartuigen verboden,Verbod,afbeeldingen/P055.png,8
P056,Mechanisch aangedreven vaartuigen verboden,Verbod,afbeeldingen/P056.png,8
